Sequence_ID,GC_content
PsbA-nuc-Dactylococcopsis_salina_PCC_8305.fa_2Z87P.faa.final_tree.fa___photo_hmms___7bf3b79825775cf2a6dbeb6bc0e207eccfd74fbe43bdf3453a18c925,49.86
PsbA-nuc-Dactylococcopsis_salina_PCC_8305.fa_2Z87P.faa.final_tree.fa___photo_hmms___158c0d34bc46935c88e5817c47c238cbf468fcfe76482d9a4d5fbec7,49.68
PsbA-nuc-Dactylococcopsis_salina_PCC_8305.fa_2Z87P.faa.final_tree.fa___photo_hmms___817b30a0d1a06415ba07f8ee749196ed42dc7b3097b2e63d3b072faf,49.53
PsbA-nuc-Dactylococcopsis_salina_PCC_8305.fa_2Z87P.faa.final_tree.fa___photo_hmms___6a22198de52a48900f00b1a99bd85fc2e0a6434d95ed3161a2d64356,49.86
PsbA-nuc-Dolichospermum_circinale_AWQC131C.fa_2Z87P.faa.final_tree.fa___photo_hmms___ddc86834f4fc90abd786b4f2869ecaeb7dec4cf2407f5b46ae6b1992,45.89
PsbA-nuc-Dolichospermum_circinale_AWQC131C.fa_2Z87P.faa.final_tree.fa___photo_hmms___8da11509894f0adbb009a5608d893d86b0144dfc881b46b14dbc0c4b,41.79
PsbA-nuc-Dolichospermum_circinale_AWQC310F.fa_2Z87P.faa.final_tree.fa___photo_hmms___4761f47fbb4c7a25bf467fedc0823b6234636dca64822c2df9397a34,44.89
PsbA-nuc-Dolichospermum_circinale_AWQC310F.fa_2Z87P.faa.final_tree.fa___photo_hmms___e779969f1a2e54c6ad2774ad111346ed5a9aa41d4035b02959ca4625,46.27
PsbA-nuc-Dolichospermum_circinale_AWQC310F.fa_2Z87P.faa.final_tree.fa___photo_hmms___e3e684bc80e296a942e85f87a924ab4d8e6807ae997e6aa99bc6d410,45.56
PsbA-nuc-Dolichospermum_circinale_AWQC310F.fa_2Z87P.faa.final_tree.fa___photo_hmms___13b6f46c9e59245e54a81e43ad56172fd4b9e930e97100a275a35368,46.42
PsbA-nuc-Dolichospermum_circinale_AWQC310F.fa_2Z87P.faa.final_tree.fa___photo_hmms___ba00077a9291294dfe5c1682c261f8b735444efba19af3a9f8a5a660,43.96
PsbA-nuc-Dolichospermum_flos-aquae_CCAP_1403_13F.fa_2Z87P.faa.final_tree.fa___photo_hmms___39354ea401d348fd6863abe7b10c179c23937b0d37c8167e4ccc5e41,48.58
PsbA-nuc-Dolichospermum_flos-aquae_CCAP_1403_13F.fa_2Z87P.faa.final_tree.fa___photo_hmms___4d5281c6c344865c0ce39359ff3beceb902108792a5b3f8e484884fd,45.98
PsbA-nuc-Dolichospermum_flos-aquae_CCAP_1403_13F.fa_2Z87P.faa.final_tree.fa___photo_hmms___8f24e414542b2d7182cf927cd0530a740470c277bdc813ba216ec1d8,47.09
PsbA-nuc-Dolichospermum_flos-aquae_CCAP_1403_13F.fa_2Z87P.faa.final_tree.fa___photo_hmms___f921c07cd666348600abf10077725d386603d47bf02cd4ec5c5ca6b2,48.77
PsbA-nuc-Dolichospermum_flos-aquae_CCAP_1403_13F.fa_2Z87P.faa.final_tree.fa___photo_hmms___29de96fd1695e4731683de547f1c5edd7c92477b8f57cbea0bec1af7,46.08
PsbA-nuc-Dolichospermum_sp_UHCC_0315A.fa_2Z87P.faa.final_tree.fa___photo_hmms___08aa898b5688857f4f66eff07c9ffe6009cb4310381d2ac980fc4cf5,49.24
PsbA-nuc-Dolichospermum_sp_UHCC_0315A.fa_2Z87P.faa.final_tree.fa___photo_hmms___0e906dfe9af03645a86de078fece50bd91b5abf0f933ef932b2e7115,47.28
PsbA-nuc-Dolichospermum_sp_UHCC_0315A.fa_2Z87P.faa.final_tree.fa___photo_hmms___d5392c266f7ffcb625d6d4f8883b34b35ffe56c45b8cdaa26b3eb332,46.17
PsbA-nuc-Dolichospermum_sp_UHCC_0315A.fa_2Z87P.faa.final_tree.fa___photo_hmms___f016978d17aba539ef25dfeb4b21b9622bf8b21c475180b7b511dd83,46.08
PsbA-nuc-Dolichospermum_sp_UHCC_0315A.fa_2Z87P.faa.final_tree.fa___photo_hmms___0bc13f526a179554e7dab600bbd53820505979c8754854336ce65a63,48.86
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___937efe2b62753752ad8cfb14fc79a1c282982f3d5816712a125b9326,50.0
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___6d38e98a7f0b8f89aa3d0bcd1b65c1d100c0d05c56970e5115f50fdb,42.64
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___93853ac46bdecc7a5cb9075fdd6e5685b9c03b291897e3d433cedca9,40.65
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___0092fe7fc3afbef659addec4c9268da13bc9354dc405610ae5d1df8a,49.62
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___570f0cb6a368725c34e0002a20d70d66f56902f16678f1deac9b45c4,49.25
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___ac53b29d9fede83f0a2f792e484e1f73ad99d7f6d9e2702dfb3889e7,47.28
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___af347f2d92c84f03a1c231b509df73faa117aea26e8f78c5c8994f9b,50.42
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___7ee08b9ada561ee1d569fa6bfd80d7d186f5a80ef2d79ed68a869579,46.41
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___fae2fdd0277d54fe8868b93ac12bf96c88bdb9df2f676989084520d7,48.97
PsbA-nuc-Euhalothece_natronophila_Z-M001.fa_2Z87P.faa.final_tree.fa___photo_hmms___d1e0f3dd8c2de73df0ba0eb7c9643b32903f5c1b7068ffa462b3327f,48.57
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___06df6e5f822aeb08ec9662346cc535d898f7deda56b8ac016ce5839c,44.69
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___21d11bf0d1a632e63c19e7b6a909d8bf637c0693f0571766a8c18177,49.86
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___ddd6411b7c50ee0cc5551a3e42b98b268fbfc8ac075b962632415e74,45.91
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___08d4331e9c6cf5d45c88812756ead607c9e98f6704d74dc7e519ffbd,43.32
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___ed0207db3254638610e7f8c9fabbbe5459b1be8b64192b68128b3c8a,47.61
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___1e80c56ed4cc490fe629f60f705dfdf77b4bbfe4bba7179ec8e28e42,45.39
PsbA-nuc-Fischerella_major_NIES-592.fa_2Z87P.faa.final_tree.fa___photo_hmms___d815217582d2653c01dec038bd5fcf9fdb22ef3b30aa8c60506b03f1,45.47
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___67a52364d734f026531e3e4589c50714fb90b904c46cfad0c0e86d66,46.26
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___b0b58d92b07193a60ae42485bc8af1e2969666ddea87abb4f70e3b85,49.62
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___b5efe04c97cb0dbe7744f7ae251b3be12a35f0ba64842e7222c7eedd,45.18
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___38a302beba7acadaec8db30da178fbbbe01f963b771d885118e26609,46.61
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___d09117cebf08a00a2493b4786ac4b750f710c3c1a2c016c92ba49c7a,47.15
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___79bce806feb0cc143ef5da13e890232f9523c8c2f9be51248837f4ce,42.44
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___19036385720df2808f38c920912129769be0c51d9193e732133e05a7,45.38
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___d378e22cbfbe0effb22194cf56d0d992fe973950a47585da5176f8b3,45.15
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___d752fe5bb8d2e7f877d8bae5e3c64afc3834e14b051b495902dc80b9,49.37
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___556b01ffb71e948ce46534a0d1a32537c8681771dcddf2172e731c8e,50.74
PsbA-nuc-Fischerella_muscicola_PCC_7414.fa_2Z87P.faa.final_tree.fa___photo_hmms___b61d8e608584f9c856b62db15e42120b140441a36a139cbcbb27c0f1,48.63
PsbA-nuc-Fischerella_muscicola_SAG_1427-1_PCC_73103.fa_2Z87P.faa.final_tree.fa___photo_hmms___802f982412d733f7b605582c873df36e9e1fb01178965d9d95d2c89a,48.38
PsbA-nuc-Fischerella_muscicola_SAG_1427-1_PCC_73103.fa_2Z87P.faa.final_tree.fa___photo_hmms___a25e9f8daa7f4c844be93ab69aa1ee20a1de6943f2e14cca409276f4,43.95
PsbA-nuc-Fischerella_muscicola_SAG_1427-1_PCC_73103.fa_2Z87P.faa.final_tree.fa___photo_hmms___c5076242b4b047ee446e2e7f98a6e2aa74e65eec351e615f54388941,49.04
PsbA-nuc-Fischerella_muscicola_SAG_1427-1_PCC_73103.fa_2Z87P.faa.final_tree.fa___photo_hmms___ed123ad803f75e8a94b33e0d00ec5a3ccfb90459bfa5c44a38b52b5a,43.88
PsbA-nuc-Fischerella_muscicola_SAG_1427-1_PCC_73103.fa_2Z87P.faa.final_tree.fa___photo_hmms___a4db37aa631b4d53c3dec4e3e17eb6201f9b62c4b6ffe5216a49bed8,48.95
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___8131252f028ebc1af24b7d030d91e782092e9aa483e8b0851f073714,49.72
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___69c91aeff8355147565b64d94c0f0c93587198d29bc4b8d7b3a1de7b,45.56
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___4b7a6357a8312224ea5ba02959ba146f4c1f498bf4b6c20f15252965,43.59
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___45282faed2f590ecc30d5cbc657cca84a595f85fbb7f511f2c5cd178,47.61
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___35ff2787098503403a730b30bb7944a7abc604567d38fd13c20e9ae7,45.39
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___bfde9e6fe3de1ea2d39a877534f137a1382597bd0d4e85c54327784a,50.14
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___ab31cc45d047fa90ceecd9c367f11593c658a3a66e0352b00ebc64fe,50.42
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___3cf7ad3aeeb858697dd1ed44eb15eaabf6923de0dfa789739a18942f,44.69
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___c150753bc342171941bc0cd26854f533f425b4fa9b4a292c1f0ce375,49.91
PsbA-nuc-Fischerella_sp_NIES-3754.fa_2Z87P.faa.final_tree.fa___photo_hmms___d68127ae1a074692d282fd8bf0d6696cb44d02160f0ed30eef1764c6,49.86
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___14cf1fa4148c826ff0aac262053e7217d1d7119771694a7ed5a4d4a8,48.65
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___fa6243afa76588d9f4a1216ff1e486fb450a9a894e635e4b88bb04ea,44.0
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___803bd9368b9e73e2f0fe62b3cee29dceb181da7021f35a9b767c7d43,50.14
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___7e61ed3162939682d52c9014fdba0d14f1c5c00230b10186ed2fd6b1,51.79
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___afbabf200623c93060e4ede438464adc3a8e907850c79f6250fca1a0,45.29
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___c1d22524ec6cf28da57d83f6885830749a74d86438bfab5c346accdb,47.33
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___bebb85d77a13c881decf17f02c568dd0bbf4a27ca94b1cb15d94ef30,43.5
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___f26f46cc4c5e013aec7c1a7ac3f806a9cb259c24193045219212e492,44.44
PsbA-nuc-Fischerella_thermalis_PCC_7521.fa_2Z87P.faa.final_tree.fa___photo_hmms___5bdcd3040f101d96c4e41f27951b502cd9911164b1d83bb5bf45b4c1,50.0
PsbA-nuc-Fortiea_contorta_PCC_7126.fa_2Z87P.faa.final_tree.fa___photo_hmms___05960bb76c05eae582c94bbb710941555306ab5f646854d0f2707dfe,51.42
PsbA-nuc-Fortiea_contorta_PCC_7126.fa_2Z87P.faa.final_tree.fa___photo_hmms___769ddba85bdadc58755706870f50e905cbbc6335c5dd9df67863e8a0,51.61
PsbA-nuc-Fortiea_contorta_PCC_7126.fa_2Z87P.faa.final_tree.fa___photo_hmms___743a741ebd095e60feada694c6339225b6743cb84dde31e777932585,49.4
PsbA-nuc-Fortiea_contorta_PCC_7126.fa_2Z87P.faa.final_tree.fa___photo_hmms___c5017ae4283105b3f9a5aed124fafa5ced034a7a77749a3a18496fb2,49.31
PsbA-nuc-Fortiea_contorta_PCC_7126.fa_2Z87P.faa.final_tree.fa___photo_hmms___e463b9de2d1e9f24f931eac4e93ceb38e0c14e5c5f9dddd47fc34b87,44.01
PsbA-nuc-Fortiea_contorta_PCC_7126.fa_2Z87P.faa.final_tree.fa___photo_hmms___b0dd489177e8a8ed5da21de7caefd92bbbbb514e27fcfc1d6ce029a1,48.94
PsbA-nuc-Geitlerinema_sp_BBD_1991-9.fa_2Z87P.faa.final_tree.fa___photo_hmms___a079d3147736588fbdb10aa089ae4fe4685d50145901f9a708097555,54.37
PsbA-nuc-Geitlerinema_sp_BBD_1991-9.fa_2Z87P.faa.final_tree.fa___photo_hmms___569964d4c87abdafc9bbdb8ee5a5d2094bdbdc11d24cd05331de5c9a,52.22
PsbA-nuc-Geitlerinema_sp_PCC_7407.fa_2Z87P.faa.final_tree.fa___photo_hmms___ffa6e778a6d66a583ca27c991e5b0aec044f0905fdb7d5efba84f8e7,57.16
PsbA-nuc-Geitlerinema_sp_PCC_7407.fa_2Z87P.faa.final_tree.fa___photo_hmms___2c783048b00f6b0b87c70fb19c882949f537327040e5bfd8bf598404,58.17
PsbA-nuc-Geitlerinema_sp_PCC_7407.fa_2Z87P.faa.final_tree.fa___photo_hmms___aa00a9103fc8ca37b9515d897553e974deadb110995938046fc7e7f0,56.6
PsbA-nuc-Geitlerinema_sp_PCC_7407.fa_2Z87P.faa.final_tree.fa___photo_hmms___5f9c15def325304608cef018c9f6c57fe9ad07fe74e81aefecbdbcc9,58.36
PsbA-nuc-Geitlerinema_sp_PCC_7407.fa_2Z87P.faa.final_tree.fa___photo_hmms___1e003992f2b8c6e4293cfc84ef0d754fdd674d7f819c2fa7c801088f,55.73
PsbA-nuc-Geitlerinema_sp_PCC_9228.fa_2Z87P.faa.final_tree.fa___photo_hmms___fd07f5c154cde3dc6cfa05a9d9a79f97b4398985b1b6684fd8d4f134,50.78
PsbA-nuc-Geitlerinema_sp_PCC_9228.fa_2Z87P.faa.final_tree.fa___photo_hmms___df024efe3afd0f5f82b5e3eb3917c0a7152d7a7912d6d68cfdcf8053,52.79
PsbA-nuc-Geitlerinema_sp_PCC_9228.fa_2Z87P.faa.final_tree.fa___photo_hmms___f7ac386485487b278d3979534dc05e99b71006278539826993c99293,53.73
PsbA-nuc-Geitlerinema_sp_PCC_9228.fa_2Z87P.faa.final_tree.fa___photo_hmms___7c375a4333ea0fab1e34759458e0548fa076c1969e389856d9f285fc,56.18
PsbA-nuc-Geminocystis_herdmanii_PCC_6308.fa_2Z87P.faa.final_tree.fa___photo_hmms___f373f510e1304b9db877988cd09b4b663b04c373aebc6dcfe6ab5722,43.79
PsbA-nuc-Geminocystis_herdmanii_PCC_6308.fa_2Z87P.faa.final_tree.fa___photo_hmms___b43b23c119057251421647aa6215c00aef6afc3c0a4cc0476cd1e4ea,43.91
PsbA-nuc-Geminocystis_herdmanii_PCC_6308.fa_2Z87P.faa.final_tree.fa___photo_hmms___80ff45006a550429fe388d37ee6a75c41bb6064c6f4171d2a36fe60a,44.89
PsbA-nuc-Geminocystis_herdmanii_PCC_6308.fa_2Z87P.faa.final_tree.fa___photo_hmms___cc94c32cce040396f39b8a99d0b262522e23d45ffa35ca8c463189be,41.1
PsbA-nuc-Geminocystis_herdmanii_PCC_6308.fa_2Z87P.faa.final_tree.fa___photo_hmms___e09d4cfd64a682e1cd5ef12ebe79582f162df5f4f94a893bbbf15ff1,42.9
PsbA-nuc-Geminocystis_sp_NIES-3708.fa_2Z87P.faa.final_tree.fa___photo_hmms___6d5051f04ba0659e9eaf567d882cc8dd737e0964c7cef1d7b7a16f17,42.61
PsbA-nuc-Geminocystis_sp_NIES-3708.fa_2Z87P.faa.final_tree.fa___photo_hmms___cffc426770d58ba09b44e3bac62dc909ef7828700beef2e3415b3e7a,43.47
PsbA-nuc-Geminocystis_sp_NIES-3708.fa_2Z87P.faa.final_tree.fa___photo_hmms___d9fd7fcffecc54f2f259da86ee6a5706d34ab11efdac8ea07f16f277,42.6
PsbA-nuc-Geminocystis_sp_NIES-3708.fa_2Z87P.faa.final_tree.fa___photo_hmms___abc2e3a1feae631fc0e58688fe0e1c5c2cc2a009044c8f693380e7e1,43.07
PsbA-nuc-Geminocystis_sp_NIES-3709.fa_2Z87P.faa.final_tree.fa___photo_hmms___13c6c848f35cf6d32b58b18016b0478da08741c30a5b4c2d30f2d8fe,43.28
PsbA-nuc-Geminocystis_sp_NIES-3709.fa_2Z87P.faa.final_tree.fa___photo_hmms___e61b033cf4297947978977b060ee3e909c10c1075cb2479d131751cd,43.63
PsbA-nuc-Geminocystis_sp_NIES-3709.fa_2Z87P.faa.final_tree.fa___photo_hmms___ff0b1574ae19ccd6eb0bbbd8456a6574409751246aecb674c2913fb9,43.07
PsbA-nuc-Geminocystis_sp_NIES-3709.fa_2Z87P.faa.final_tree.fa___photo_hmms___063fdef97b336085f37de9117d710b1712c84a4bcdef82860036ce84,40.07
PsbA-nuc-Geminocystis_sp_NIES-3709.fa_2Z87P.faa.final_tree.fa___photo_hmms___2a7baa846ef819fa9399d9f5b1c43a49f13062b3b69637afb48fde7b,44.22
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___91b5bbca3dd510847b401b9dde433574929b031e260839a4adb52552,56.97
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___1feaeff8e7a5ad6eaa62a47be50623f7da2ff62e240ec4c388766e30,56.88
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___1f74acf9b79278d6a625016f5c31adc7bb61e1db930320c5714c21e1,57.25
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___5dfe133972974730025e148352a9e7060390b7c16570b48166df8b5a,56.88
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___b5492890ae8bbe42f1852c39b3fa1f3128f8be1454ca7347a7eda31e,61.46
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___2fb8e96c294121a7833477ef504803f67b3ca07be61b2efd81fd5fa5,59.39
PsbA-nuc-Gloeobacter_kilaueensis_JS1.fa_2Z87P.faa.final_tree.fa___photo_hmms___b595be80dc000c36fad12ea5f17f084f2dbac2f72b70e6e2abfa6be0,58.59
PsbA-nuc-Gloeobacter_violaceus_PCC_7421.fa_2Z87P.faa.final_tree.fa___photo_hmms___8482421eb0f12827aacd2dfeddac438e5201cf2f8ca6131acb74b881,56.97
PsbA-nuc-Gloeobacter_violaceus_PCC_7421.fa_2Z87P.faa.final_tree.fa___photo_hmms___c415485df126a1fd22c75f907139ddcf0ccfb7a4a02194db85d7ab0b,58.82
PsbA-nuc-Gloeobacter_violaceus_PCC_7421.fa_2Z87P.faa.final_tree.fa___photo_hmms___bc07401881241fe449cb256ef77f11c07752a099f6eb2bbe202ed49f,57.06
PsbA-nuc-Gloeobacter_violaceus_PCC_7421.fa_2Z87P.faa.final_tree.fa___photo_hmms___2813071cbb3ceaaa251c7c4e34ef4d6b8afdc2cae835e7918a5f3944,59.7
PsbA-nuc-Gloeobacter_violaceus_PCC_7421.fa_2Z87P.faa.final_tree.fa___photo_hmms___82c6054110a5fb7e9e037ce063e25c6f88fb92708d0984cedb57c6ff,60.33
PsbA-nuc-Gloeobacter_violaceus_PCC_7421.fa_2Z87P.faa.final_tree.fa___photo_hmms___d9317a4226389ef14491d09833185f9cd6d14687de895a21e1873435,57.25
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___e2220e003fa0f30f229bf227256137e69cf75f8ab2c9cbd6b2edfc06,51.7
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___df08e0f92cb44cabb1c5f1c0a2705b73721c9a38ede8e283ca55ec41,48.38
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___227f2a0d539d22b49931cba86b6bcb3bf5bd26761e05cb8915fbc309,50.88
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___c582626d545ec72329ff179093f3a3489ad42779f210445356ab6e61,51.99
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___4220401b3aa8c5594984ead962a1a47f4b1cf30ebfdc59ddfca63a69,50.97
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___063bc92e04708d93276f1527d45c5aa8d40e124a922bd4dc9044db2f,51.34
PsbA-nuc-Gloeocapsa_sp_PCC_7428.fa_2Z87P.faa.final_tree.fa___photo_hmms___5e79e88dd74059add7e8120eae0b4f3ee7bb7c3b063130dd905f41e9,47.45
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___0e56a37feb9ecdc4f1f46190d66f30a4f6a5fbf484cc61f0c13bbf22,46.13
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___904ac05530ce0ffc1fc28a119895f358c524e240d72679931335f2fa,48.44
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___da97459f99060c5da29ff2e1f5bccd9735b71af6d6b43d3bdb451c89,45.94
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___8f7b5c54bced3d6d20a23516d86a9bb9cf06e8dc7f797006860a99e1,42.86
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___4ca5e7e229bc5a86074cb12642247218d27608b365f215cf9fe94d12,44.72
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___bb8f7aa23dd01ea2ec733ab901ee4d32b1a852d7660646744b204917,45.75
PsbA-nuc-Gloeothece_citriformis_PCC_7424.fa_2Z87P.faa.final_tree.fa___photo_hmms___ff053437949d6a2976cbc0772f2d04fc5d0321a987eb061681179b6c,47.97
PsbA-nuc-Gloeothece_verrucosa_PCC_7822.fa_2Z87P.faa.final_tree.fa___photo_hmms___d80a6e3ac122c28111c32ffb171111be8616857fae79b5c45dd2867b,47.25
PsbA-nuc-Gloeothece_verrucosa_PCC_7822.fa_2Z87P.faa.final_tree.fa___photo_hmms___4e16d4273ecb7d106526867566f4bd4c7bdb16af7aaa0bc2e88b2618,49.01
PsbA-nuc-Gloeothece_verrucosa_PCC_7822.fa_2Z87P.faa.final_tree.fa___photo_hmms___661cd6a31a2a411620fa37f0e0970e94336a41ac07c077049dede626,47.15
PsbA-nuc-Gloeothece_verrucosa_PCC_7822.fa_2Z87P.faa.final_tree.fa___photo_hmms___b6db0c91884cba3f32a37b9d8bd8bc3afa72fafc979234c20b1e3ce5,46.69
PsbA-nuc-Gloeothece_verrucosa_PCC_7822.fa_2Z87P.faa.final_tree.fa___photo_hmms___1668f07d27d24c525cd9b16c5068bba77a44e4dd4e909f7d85dc0868,44.08
PsbA-nuc-Gloeothece_verrucosa_PCC_7822.fa_2Z87P.faa.final_tree.fa___photo_hmms___dcc82df5c16d0da205e7b41404a3a8069370ba2ab0344436df36b02c,48.82
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___8cc60d03b7201b673c515f7b253b58ed1e122016741149ed0a3f202f,51.79
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___19552095a02096002a327ca7e7a7a0c3553e7875239a42f52612e57e,44.99
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___3faa7ce5be2d5b6300b48e347630be8a4cdba1dc3b0165ab7f4732e3,51.51
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___ab2832600dc1f75a0ffd925035548b2d5fa1a25deb1bbb3650198f4d,50.51
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___f638b6083526ff2b2b47f5251e6ceb4e801d1c5eff76d313aa7b133c,47.09
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___7f440d5222dff33ab9dfff8576c13f60a248dc67fc2b7ba102c69f2a,50.14
PsbA-nuc-Halothece_sp_PCC_7418.fa_2Z87P.faa.final_tree.fa___photo_hmms___3ff62922969b77c3aac38ecbf4461237495a4a7740124bf1bcd36dbe,50.32
PsbA-nuc-Hapalosiphon_sp_MRB220.fa_2Z87P.faa.final_tree.fa___photo_hmms___a34d056d468a4d353ca3c94cbffaff828eeead6f71b372263b0b2963,48.66
